code,municipio.x,depto,part,part_18,Gustavo Petro_22,Rodolfo Hernández_22,Federico Gutiérrez_22,Sergio Fajardo_22,John Milton Rodríguez_22,Enrique Gómez Martínez_22,Luis Pérez_22,Gustavo Petro_18,Iván Duque_18,Sergio Fajardo_18,Germán Vargas Lleras_18,Humberto De La Calle_18,Jorge Antonio Trujillo_18,Viviane Morales_18,dif_part,codigo_municipio,municipio.y,codigo_departamento,departamento,pdet,statecap,gini,IPM,pib_percapita_mill,g_terreno,capital,l_31_82,c_31_82,pob_total_2018,porc_rural_2018,p_petro_2022,p_hernandez_2022,p_gutierrez_2022,...1,Gustavo Petro_18_pc,Iván Duque_18_pc,Sergio Fajardo_18_pc,Germán Vargas Lleras_18_pc,Humberto De La Calle_18_pc,Jorge Antonio Trujillo_18_pc,Viviane Morales_18_pc,Gustavo Petro_22_pc,Rodolfo Hernández_22_pc,Federico Gutiérrez_22_pc,Sergio Fajardo_22_pc,John Milton Rodríguez_22_pc,Enrique Gómez Martínez_22_pc,Luis Pérez_22_pc,gana_petro2,max_pc_18,gana_petro18,max_pc_22,gana_petro22,ganaPetro2,part_crecio_above_average,diff_petro_rodolfo,diff_petro_rodolfo_abs
27160,Cértegui,Chocó,44.65,46.1,1430,91,463,65,3,11,3,644,643,36,541,51,8,9,-1.4500000000000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,33.1,33,1.8,27.8,2.6,0.4,0.5,68.2,4.3,22.1,3.1,0.1,0.5,0.1,1,33.1,1,68.2,1,1,0,63.900000000000006,63.900000000000006
27361,Istmina,Chocó,38.57,38.8,6107,622,1007,241,104,40,4,4024,2262,293,842,200,79,23,-0.22999999999999687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,50.5,28.4,3.7,10.6,2.5,1,0.3,73,7.4,12,2.9,1.2,0.5,0,1,50.5,1,73,1,1,0,65.6,65.6
27660,San José del Palmar,Chocó,29.45,29,594,397,129,25,4,10,1,330,312,148,290,21,9,5,0.4499999999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599,28.6,27,12.8,25.1,1.8,0.8,0.4,50,33.4,10.8,2.1,0.3,0.8,0.1,1,28.6,1,50,1,1,0,16.6,16.6
27745,Sipí,Chocó,33.18,31.8,775,51,66,23,11,6,1,591,78,3,95,7,8,3,1.379999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,73.8,9.7,0.4,11.9,0.9,1,0.4,82.3,5.4,7,2.4,1.2,0.6,0.1,1,73.8,1,82.3,1,1,0,76.89999999999999,76.89999999999999
44001,Riohacha,La Guajira,40.78,42.4,31295,11651,11392,1064,1115,170,21,22081,17712,4038,2639,927,265,88,-1.6199999999999974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641,45.4,36.4,8.3,5.4,1.9,0.5,0.2,54.2,20.2,19.7,1.8,1.9,0.3,0,1,45.4,1,54.2,1,1,0,34,34
44035,Albania,La Guajira,42.65,44.9,5609,805,960,122,160,22,6,4869,2044,283,145,76,15,18,-2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,64.7,27.2,3.8,1.9,1,0.2,0.2,72.2,10.3,12.3,1.6,2,0.3,0.1,1,64.7,1,72.2,1,1,0,61.900000000000006,61.900000000000006
44078,Barrancas,La Guajira,41.9,40.7,6941,1552,1493,130,113,26,2,5801,2712,404,526,121,46,13,1.1999999999999957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643,59.6,27.9,4.2,5.4,1.2,0.5,0.1,66.9,14.9,14.4,1.2,1.1,0.2,0,1,59.6,1,66.9,1,1,0,52.00000000000001,52.00000000000001
44090,Dibulla,La Guajira,33.52,35.2,4385,1270,1452,132,65,19,3,3461,2725,279,853,133,18,19,-1.6799999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,45.6,35.9,3.7,11.2,1.8,0.2,0.3,58.9,17,19.5,1.8,0.9,0.2,0,1,45.6,1,58.9,1,1,0,41.9,41.9
44098,Distracción,La Guajira,43.94,48.9,2352,855,1109,39,17,10,0,1634,1535,159,903,80,15,5,-4.960000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645,37.3,35.1,3.6,20.6,1.8,0.3,0.1,53.1,19.3,25,0.9,0.4,0.2,0,1,37.3,1,53.1,1,1,0,33.8,33.8
44279,Fonseca,La Guajira,48.01,50,9396,2091,2387,202,189,36,4,7650,3771,727,713,369,69,12,-1.990000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647,56.6,27.9,5.4,5.3,2.7,0.5,0.1,64.6,14.4,16.4,1.4,1.3,0.2,0,1,56.6,1,64.6,1,1,0,50.199999999999996,50.199999999999996
